National Park,Description,Founded,AllTrails URL
Acadia,"Known for its rocky coastline, diverse trails, and Cadillac Mountain, the highest point on the U.S. East Coast.",1919,https://www.alltrails.com/parks/us/maine/acadia-national-park
American Samoa,"Remote tropical rainforest with pristine beaches, coral reefs, and Samoan culture. Great for snorkeling and birdwatching.",1988,https://www.alltrails.com/parks/us/american-samoa/national-park-of-american-samoa
Arches,"Famous for over 2,000 natural stone arches, red rock landscapes, and challenging trails like Devil's Garden.",1971,https://www.alltrails.com/parks/us/utah/arches-national-park
Badlands,"Rugged geologic formations, scenic views, and bison herds. Popular for camping and backcountry hiking.",1978,https://www.alltrails.com/parks/us/south-dakota/badlands-national-park
Big Bend,"Diverse ecosystems with desert, river, and mountain scenery. Known for its remote camping and hiking trails.",1944,https://www.alltrails.com/parks/us/texas/big-bend-national-park
Biscayne,"Mostly underwater, with opportunities for snorkeling, boating, and exploring coral reefs and mangroves.",1980,https://www.alltrails.com/parks/us/florida/biscayne-national-park
Black Canyon of the Gunnison,"Features steep, narrow canyons with dramatic cliffs, rock climbing, and remote hiking options.",1999,https://www.alltrails.com/parks/us/colorado/black-canyon-of-the-gunnison-national-park
Bryce Canyon,"Known for its unique hoodoo rock formations, offering scenic overlooks and various hiking trails.",1928,https://www.alltrails.com/parks/us/utah/bryce-canyon-national-park
Canyonlands,Red rock canyons and pinnacles with rugged trails for advanced hikers and mountain bikers.,1964,https://www.alltrails.com/parks/us/utah/canyonlands-national-park
Capitol Reef,"Famous for its white sandstone domes, cliffs, and ancient petroglyphs. Ideal for remote camping and hiking.",1971,https://www.alltrails.com/parks/us/utah/capitol-reef-national-park
Carlsbad Caverns,Features over 119 caves formed by sulfuric acid dissolution. Offers guided tours and camping nearby.,1930,https://www.alltrails.com/parks/us/new-mexico/carlsbad-caverns-national-park
Channel Islands,"Located off the California coast, with sea caves, unique wildlife, and island camping options.",1980,https://www.alltrails.com/parks/us/california/channel-islands-national-park
Congaree,"The largest intact expanse of old-growth bottomland hardwood forest in the U.S. Ideal for kayaking, canoeing, and hiking.",2003,https://www.alltrails.com/parks/us/south-carolina/congaree-national-park
Crater Lake,"Known for its deep, clear blue lake inside a caldera. Offers challenging trails and camping in serene settings.",1902,https://www.alltrails.com/parks/us/oregon/crater-lake-national-park
Cuyahoga Valley,"Lush forested trails, waterfalls, and historical sites. Popular for hiking, biking, and birdwatching.",2000,https://www.alltrails.com/parks/us/ohio/cuyahoga-valley-national-park
Death Valley,"Home to the lowest and hottest point in North America, with desert vistas and unique rock formations.",1994,https://www.alltrails.com/parks/us/california/death-valley-national-park
Denali,"Known for Mount Denali, North America's highest peak, with extensive backcountry options.",1917,https://www.alltrails.com/parks/us/alaska/denali-national-park
Dry Tortugas,"Remote island park with coral reefs, historic Fort Jefferson, and excellent snorkeling and kayaking.",1992,https://www.alltrails.com/parks/us/florida/dry-tortugas-national-park
